"","roundNumber","NB_EXAMPLE_MODEL","NB_FEAT_NEUTRAL","NB_HELLO_NUMERAI","NB_TARGET_ENSEMBLE","V5_EXAMPLE_PREDS","V5_LGBM_CT_BLEND","V5_LGBM_CYRUSD","V5_LGBM_TEAGER2B","NUMERAI_SWMM","INTEGRATION_TEST"
"1",843,NA,-0.007222245,-0.006503065,-0.02850541,NA,-0.0054578,-0.006855315,-0.003176535,0.014351195,NA
"2",844,NA,0.001511405,-0.001982775,-0.00953375,NA,-0.00785655,-0.00640231,-0.008711945,0.015166635,NA
"3",845,NA,0.028278965,0.00994162,0.00180674,NA,-0.015710805,-0.009299645,-0.019648645,0.01336488,NA
"4",846,NA,0.01112737,-0.000382625000000001,-0.02590563,NA,-0.01648517,-0.00067846,-0.03033806,0.01500632,NA
"5",847,NA,0.014432505,0.003163415,-0.00544401,NA,-0.010286365,-0.00249285,-0.01746698,0.00936226000000001,NA
"6",848,NA,0.02325705,0.002202975,-0.00498446,NA,-0.015981455,-0.003757395,-0.02722035,0.01289714,NA
"7",849,NA,0.01793384,0.00748894,-0.01304081,NA,-0.01571436,-0.00133283,-0.02828036,0.013845825,NA
"8",850,NA,0.04357642,0.028312015,0.01468379,NA,-0.01662414,-0.001985005,-0.029726815,0.013751175,NA
"9",851,NA,0.014562445,0.001658855,-0.00728521,NA,-0.01581389,-0.010760785,-0.0198765,0.00755712,NA
"10",852,NA,0.032232905,0.02028802,0.00655513,NA,-0.01903286,-0.00243562,-0.03413899,0.00700135,NA
"11",853,NA,0.01154253,0.001886275,-0.01014186,NA,-0.0170821,-0.009509405,-0.02184613,0.00626605500000001,NA
"12",854,NA,0.029984335,0.025464745,0.021531895,NA,-0.013842725,-0.003716745,-0.02101554,0.000953470000000001,NA
"13",855,NA,0.025417285,0.01787371,0.01706089,NA,-0.003712585,0.00831896,-0.01438251,0.015180395,NA
"14",856,NA,0.027344995,0.021962435,0.007238475,NA,-0.01963084,-0.001005055,-0.03653898,0.00855871,NA
"15",857,NA,0.049975475,0.04025674,0.02103884,NA,-0.01288762,0.00354179,-0.02787507,0.010838725,NA
"16",858,NA,0.03401974,0.025706525,0.01935226,NA,-0.01321159,-0.00096185,-0.024581295,0.01163606,NA
"17",859,NA,0.046655995,0.032030035,0.03370504,NA,-0.010058045,0.00208566,-0.02155745,0.012570015,NA
"18",860,NA,0.03393826,0.01804496,0.018423085,NA,-0.01382544,0.00192435,-0.02807827,0.010326705,NA
"19",861,NA,0.04753019,0.033672415,0.03313514,NA,-0.009216195,0.00548735,-0.02375265,0.01480422,NA
"20",862,NA,0.049140265,0.03335476,0.02796635,NA,-0.00932294,0.00682707,-0.02375497,0.014738785,NA
"21",863,NA,0.050145835,0.03303715,0.025593815,NA,-0.005471975,0.01228955,-0.02246091,0.01678367,NA
"22",864,NA,0.037144465,0.021910605,0.00784808,NA,-0.015768225,0.001328445,-0.030271815,0.008785815,NA
"23",865,NA,0.050176305,0.036037355,0.021251855,NA,0.00080591,0.023547345,-0.02107441,0.01854397,NA
"24",866,NA,0.04021672,0.03378019,0.0241466,NA,-0.002609855,0.014968175,-0.01939035,0.01416761,NA
"25",867,NA,0.03762164,0.03482138,0.019354175,NA,-0.00802985,0.007207615,-0.02116463,0.01179382,NA
"26",868,NA,0.055616355,0.04557911,0.03940369,NA,-0.0135408,0.009485655,-0.03395389,0.01086839,NA
"27",869,NA,0.08010901,0.068830205,0.053009055,NA,-0.01369226,0.006748765,-0.033033565,0.007184665,NA
"28",870,NA,0.068541435,0.05756025,0.036439045,NA,-0.002607645,0.02300088,-0.02737469,0.013497555,NA
"29",871,NA,0.05164439,0.04063975,0.026841015,NA,-0.005518175,0.02158244,-0.031253965,0.01432484,NA
"30",872,NA,0.046780595,0.04652338,0.02995416,NA,-0.000958510000000001,0.0205588654472,-0.02343787,0.02167986,NA
"31",873,NA,0.080063035,0.07401508,0.054035765,NA,0.01718525,0.03840222,-0.00478323,0.031010295,NA
