"roundNumber","NUMERAI_SWMM","BGDA_60_AUTO","FEARINDEX","REPUTATION","VIDEIGREN","SHATTEREDX","JOS_STACK","EGG_001","SSH48","WITCHYAI","MELONADA","NB_EXAMPLE_MODEL","NB_FEAT_NEUTRAL","NB_HELLO_NUMERAI","NB_TARGET_ENSEMBLE","V5_EXAMPLE_PREDS","V5_LGBM_CT_BLEND","V5_LGBM_CYRUSD","V5_LGBM_TEAGER2B","INTEGRATION_TEST","V52_LGBM_TEAGER2B60","V52_LGBM_TEAGER2B20","V52_LGBM_JASPER60","V52_LGBM_JASPER20","V52_LGBM_ENDER60","V52_LGBM_ENDER20","V52_LGBM_CYRUSD60","V52_LGBM_CYRUSD20","V51_LGBM_TEAGER60","V51_LGBM_TEAGER20","V51_LGBM_CYRUS60","V51_LGBM_CYRUS20"
843,0.02870239,NA,0.02264466,0.0244964,0.03038688,0.03038688,0.02369218,0.02880746,0.03038688,0.03038688,NA,0.02332635,0.02035691,0.02332635,0.0086395,0.02248919,0.02248912,0.02011401,0.02166293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
844,0.03033327,NA,0.02293888,0.02610352,0.03367776,0.03367776,0.02386562,0.03193558,0.03367776,0.03367776,NA,0.02486649,0.02420893,0.02486649,0.01769746,0.02139146,0.02139146,0.02069738,0.01937187,0.02139146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
845,0.02672976,NA,0.02741836,0.02183174,0.02400545,0.02400545,0.02934513,0.03851773,0.02400545,0.02400545,NA,0.02505616,0.03098897,0.02505616,0.01682472,0.0129589,0.01294219,0.01523883,0.01034951,0.0129589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
846,0.03001264,NA,0.02113347,0.02186192,0.02653339,0.02653339,0.02764143,0.03535161,0.02653339,0.02653339,NA,0.01906055,0.02405714,0.01906055,0.00638266,0.01465991,0.01465922,0.02122336,0.0070856,0.01465991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
847,0.01872452,NA,0.01101236,0.01250388,0.0238911,0.01763872,0.01568006,0.03253292,0.01990754,0.02286118,NA,0.01321659,0.01927445,0.01321659,0.0079583,0.00963842,0.00963843,0.01227914,0.00554396,0.00963842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
848,0.02579428,NA,0.02077884,0.00459053,0.03459211,0.0279029,0.03183705,0.04266344,0.03286583,0.03484901,NA,0.01718707,0.02432714,0.01718707,0.01237832,0.01143789,0.01143789,0.01639781,0.00586458,0.01143789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
849,0.02769165,NA,0.01725556,0.01246978,0.03871218,0.02629493,0.02267299,0.03007914,0.00308769,0.02671248,NA,0.02033184,0.02297736,0.02033184,0.00951566,0.0131694,0.01316936,0.02014006,0.00497664,0.0131694,NA,NA,NA,NA,NA,NA,NA,NA,0.0119342543401138,0.0144833738151481,0.02283635757253,0.0267472514939306
850,0.02750235,NA,0.02942366,0.01718024,0.03232768,0.02845161,0.03028659,0.03375353,0.00805086,0.02213559,NA,0.02933843,0.03464,0.02933843,0.0215203,0.01352568,0.01352576,0.01939587,0.00645717,0.01352568,NA,NA,NA,NA,NA,NA,NA,NA,0.01405643002355,0.0182918409123153,0.0204139992632963,0.0232818260718108
851,0.01511424,NA,0.01301944,0.00488663,0.02249678,0.01909123,0.02185797,0.01171483,0.00151935,0.01257444,NA,0.01367547,0.01919697,0.01367547,0.0066087,0.00440178,0.00440178,0.00662419,0.00148596,0.00440178,NA,NA,NA,NA,NA,NA,NA,NA,0.00920885177298807,0.00791648703303202,0.0156198340313361,0.0117536565882318
852,0.0140027,NA,0.01125899,-0.00087256,0.01133652,0.01709469,0.02266023,0.00038778,-0.01214892,-0.00035315,NA,0.01812664,0.02550721,0.01812664,0.01254978,0.00172087,0.00172228,0.00820144,-0.00519246,0.00172087,NA,NA,NA,NA,NA,NA,NA,NA,-0.00908996490682079,0.00261500899350704,0.00633185487058176,0.0143931380624139
