"roundNumber","NUMERAI_SWMM","BGDA_60_AUTO","FEARINDEX","REPUTATION","VIDEIGREN","SHATTEREDX","JOS_STACK","EGG_001","SSH48","WITCHYAI","MELONADA","NB_EXAMPLE_MODEL","NB_FEAT_NEUTRAL","NB_HELLO_NUMERAI","NB_TARGET_ENSEMBLE","V5_EXAMPLE_PREDS","V5_LGBM_CT_BLEND","V5_LGBM_CYRUSD","V5_LGBM_TEAGER2B","INTEGRATION_TEST","V52_LGBM_TEAGER2B60","V52_LGBM_TEAGER2B20","V52_LGBM_JASPER60","V52_LGBM_JASPER20","V52_LGBM_ENDER60","V52_LGBM_ENDER20","V52_LGBM_CYRUSD60","V52_LGBM_CYRUSD20","V51_LGBM_TEAGER60","V51_LGBM_TEAGER20","V51_LGBM_CYRUS60","V51_LGBM_CYRUS20"
843,0.80709877,NA,0.62080278,0.69972983,0.86530297,0.86530297,0.67966036,0.8103049,0.86530297,0.86530297,NA,0.65746816,0.50424547,0.65746816,0.2174836,0.59899653,0.58317252,0.49054419,0.555577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
844,0.86814693,NA,0.68150685,0.78876712,0.92465753,0.92465753,0.70684932,0.88616438,0.92465753,0.92465753,NA,0.75342466,0.72589041,0.75342466,0.49712329,0.62191781,0.62191781,0.58342466,0.54863014,0.62191781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
845,0.85279188,NA,0.86608812,0.67823765,0.75287049,0.75287049,0.89746328,0.97556742,0.75287049,0.75287049,NA,0.8082777,0.9200267,0.8082777,0.54606142,0.42536716,0.4141522,0.49799733,0.35807744,0.42536716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
846,0.92522862,NA,0.67459677,0.69784946,0.84287634,0.84287634,0.88709677,0.97150538,0.84287634,0.84287634,NA,0.60658602,0.76330645,0.60658602,0.26612903,0.46545699,0.45430108,0.67768817,0.28145161,0.46545699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
847,0.80600522,NA,0.53588205,0.58768267,0.92888831,0.77413883,0.70929019,0.98512526,0.84159708,0.90709812,NA,0.62121608,0.82006785,0.62121608,0.39835595,0.47312109,0.48408142,0.57789666,0.3151096,0.47312109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
848,0.82841615,NA,0.73008277,0.22012416,0.95951888,0.87959131,0.93352302,0.99314537,0.94309364,0.96508019,NA,0.61226073,0.80225039,0.61226073,0.4318417,0.39291257,0.39291257,0.57979824,0.24508536,0.39291257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
849,0.90214974,NA,0.60076562,0.43269943,0.98777476,0.86169425,0.77624105,0.93035317,0.1805384,0.88071129,NA,0.69992591,0.78908372,0.69992591,0.33119289,0.46455915,0.45319832,0.68090887,0.21462089,0.46455915,NA,NA,NA,NA,NA,NA,NA,NA,0.405578869414959,0.511478647247593,0.780301160207356,0.88126388546038
850,0.79421384,NA,0.87691727,0.53331657,0.91916017,0.82687956,0.89363842,0.93399547,0.25622328,0.67990948,NA,0.86509932,0.94681921,0.86509932,0.66293689,0.41614282,0.42670355,0.59303495,0.21888358,0.41614282,NA,NA,NA,NA,NA,NA,NA,NA,0.44031163608947,0.563458155315406,0.62000502638854,0.707715506408645
851,0.7492515,NA,0.65648379,0.37182045,0.91458853,0.85037406,0.90648379,0.61533666,0.25236908,0.64688279,NA,0.6872818,0.86857855,0.6872818,0.43441397,0.34875312,0.34875312,0.44102244,0.24987531,0.34875312,NA,NA,NA,NA,NA,NA,NA,NA,0.525423728813559,0.485294117647059,0.760219341974078,0.61814556331007
852,0.70522388,NA,0.60554451,0.22600696,0.6085281,0.78418697,0.91422178,0.26367479,0.04848334,0.23769269,NA,0.82918946,0.94853307,0.82918946,0.65241174,0.31427151,0.32471407,0.51081551,0.13463451,0.31427151,NA,NA,NA,NA,NA,NA,NA,NA,0.0822564612326044,0.347166998011928,0.448061630218688,0.718439363817097
853,0.76125342,NA,0.29269202,0.63559533,0.27454636,0.87931892,0.91324882,0.25093214,0.07457122,0.15759384,NA,0.65647527,0.79045488,0.65647527,0.4804872,0.33718618,0.34775043,0.43711161,0.26273925,0.33718618,NA,NA,NA,NA,NA,NA,NA,NA,0.188074534161491,0.393788819875776,0.21416149068323,0.471055900621118
854,0.54342778,NA,0.48131383,0.42502321,0.30002321,0.66538997,0.76833798,0.48061746,0.01160631,0.08820799,NA,0.84946611,0.90413185,0.84946611,0.82787837,0.25185701,0.25185701,0.38115135,0.19881616,0.25185701,NA,NA,NA,NA,NA,NA,NA,NA,0.031554524361949,0.219257540603248,0.203712296983759,0.346867749419954
