"roundNumber","NUMERAI_SWMM","BGDA_60_AUTO","FEARINDEX","REPUTATION","VIDEIGREN","SHATTEREDX","JOS_STACK","EGG_001","SSH48","WITCHYAI","MELONADA","NB_EXAMPLE_MODEL","NB_FEAT_NEUTRAL","NB_HELLO_NUMERAI","NB_TARGET_ENSEMBLE","V5_EXAMPLE_PREDS","V5_LGBM_CT_BLEND","V5_LGBM_CYRUSD","V5_LGBM_TEAGER2B","INTEGRATION_TEST","V52_LGBM_TEAGER2B60","V52_LGBM_TEAGER2B20","V52_LGBM_JASPER60","V52_LGBM_JASPER20","V52_LGBM_ENDER60","V52_LGBM_ENDER20","V52_LGBM_CYRUSD60","V52_LGBM_CYRUSD20","V51_LGBM_TEAGER60","V51_LGBM_TEAGER20","V51_LGBM_CYRUS60","V51_LGBM_CYRUS20"
843,-5.92400944e-18,NA,0.00170068,0.00429108,0.01015033,0.01015033,0.00638612,0.0099088,0.01015033,0.01015033,NA,-0.00908312,-0.00870035,-0.00908312,-0.01641258,-0.00835116,-0.00835118,-0.00845616,-0.007004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
844,9.10391438e-18,NA,0.00168485,0.007127,0.01169452,0.01169452,0.00762364,0.01064345,0.01169452,0.01169452,NA,-0.00720801,-0.00529653,-0.00720801,-0.00919124,-0.00927614,-0.00927614,-0.0083755,-0.00919894,-0.00927614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
845,4.54079938e-18,NA,0.00891183,0.0068342,0.00554597,0.00554597,0.01311591,0.0195063,0.00554597,0.00554597,NA,-0.00129323,0.00639224,-0.00129323,-0.00330281,-0.01108378,-0.01109095,-0.00845953,-0.0124117,-0.01108378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
846,-4.32232501e-18,NA,0.00352441,0.00514598,0.0077955,0.0077955,0.00878522,0.01375221,0.0077955,0.0077955,NA,-0.00495645,-0.0004506,-0.00495645,-0.01454848,-0.01190715,-0.01190739,-0.00564507,-0.01694043,-0.01190715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
847,5.99726872e-18,NA,0.00230436,-0.00082142,0.01590974,0.00502111,0.00885133,0.02243641,0.00720687,0.01267194,NA,-0.00172244,0.00239764,-0.00172244,-0.00471158,-0.00755282,-0.00755279,-0.00431621,-0.01011948,-0.00755282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
848,-4.37619254e-18,NA,0.00579297,-0.01086442,0.01942557,0.00836899,0.01647631,0.02473067,0.01134713,0.01674401,NA,-0.00319528,0.00554674,-0.00319528,-0.00558681,-0.0108502,-0.0108502,-0.00597815,-0.01507632,-0.0108502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
849,-5.34720479e-18,NA,0.00071104,-0.00801531,0.02328905,0.0089854,0.00598837,0.01305315,-0.00263302,0.01343584,NA,-0.00133849,0.00322258,-0.00133849,-0.00889932,-0.01114948,-0.01114952,-0.00570143,-0.01538434,-0.01114948,NA,NA,NA,NA,NA,NA,NA,NA,-0.00859340228879099,-0.00652250623457133,-0.00286942340014624,0.000129256378478734
850,2.98953029e-18,NA,0.01297693,-0.00364915,0.01842588,0.01196255,0.01359115,0.01435945,-0.00340694,0.00923339,NA,0.0068214,0.01312821,0.0068214,0.00196182,-0.01169356,-0.01169351,-0.00584147,-0.0164777,-0.01169356,NA,NA,NA,NA,NA,NA,NA,NA,-0.00666869801106911,-0.00697680311614109,-0.00485920459630698,-0.00215205292084454
851,2.06947069e-18,NA,0.00814654,-0.00698578,0.01466493,0.01430284,0.0143467,0.00511451,-0.00238172,0.00751793,NA,-0.00258944,0.00248198,-0.00258944,-0.00529478,-0.00900739,-0.00900739,-0.00703644,-0.01030974,-0.00900739,NA,NA,NA,NA,NA,NA,NA,NA,-0.000606638779810482,-0.00497942298811397,-0.000846644401345722,-0.00319792094058077
852,2.01682354e-18,NA,0.00691014,-0.00793531,0.00866469,0.01211284,0.01484927,-0.00199576,-0.01389912,-0.00145881,NA,0.00561235,0.00973965,0.00561235,0.00014012,-0.00994788,-0.009947,-0.00326817,-0.01577138,-0.00994788,NA,NA,NA,NA,NA,NA,NA,NA,-0.014932789604092,-0.00909105210899771,-0.00633637580506503,0.000409449461637802
853,4.5897387e-18,NA,-0.0042519,-0.00030232,0.00023939,0.00995041,0.01067357,-0.00214125,-0.01129448,-0.00462704,NA,-0.00146723,0.00237315,-0.00146723,-0.00627135,-0.00866694,-0.0086648,-0.00560686,-0.01058737,-0.00866694,NA,NA,NA,NA,NA,NA,NA,NA,-0.00682266913409652,-0.00614306288658245,-0.00833428640930976,-0.00320033555868316
