"roundNumber","NUMERAI_SWMM","BGDA_60_AUTO","FEARINDEX","REPUTATION","VIDEIGREN","SHATTEREDX","JOS_STACK","EGG_001","SSH48","WITCHYAI","MELONADA","NB_EXAMPLE_MODEL","NB_FEAT_NEUTRAL","NB_HELLO_NUMERAI","NB_TARGET_ENSEMBLE","V5_EXAMPLE_PREDS","V5_LGBM_CT_BLEND","V5_LGBM_CYRUSD","V5_LGBM_TEAGER2B","INTEGRATION_TEST","V52_LGBM_TEAGER2B60","V52_LGBM_TEAGER2B20","V52_LGBM_JASPER60","V52_LGBM_JASPER20","V52_LGBM_ENDER60","V52_LGBM_ENDER20","V52_LGBM_CYRUSD60","V52_LGBM_CYRUSD20","V51_LGBM_TEAGER60","V51_LGBM_TEAGER20","V51_LGBM_CYRUS60","V51_LGBM_CYRUS20"
843,0.52893519,NA,0.57641837,0.67039753,0.83790042,0.83790042,0.72751833,0.80065612,0.83790042,0.83790042,NA,0.19201081,0.21516789,0.19201081,0.05654188,0.24700888,0.23118487,0.22578155,0.29814743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
844,0.57182018,NA,0.6269863,0.77123288,0.88246575,0.88246575,0.78109589,0.84369863,0.88246575,0.88246575,NA,0.28931507,0.37739726,0.28931507,0.21054795,0.19013699,0.19013699,0.24972603,0.20534247,0.19013699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
845,0.51482768,NA,0.82443258,0.77516689,0.71628838,0.71628838,0.89052069,0.94539386,0.71628838,0.71628838,NA,0.45260347,0.76221629,0.45260347,0.36208278,0.14072096,0.12977303,0.21735648,0.10146862,0.14072096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
846,0.54814416,NA,0.68158602,0.72284946,0.80712366,0.80712366,0.84623656,0.91666667,0.80712366,0.80712366,NA,0.33965054,0.52298387,0.33965054,0.07217742,0.12405914,0.11290323,0.29892473,0.03870968,0.12405914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
847,0.53498695,NA,0.62330376,0.50182672,0.93201983,0.73264614,0.83898747,0.9809499,0.80219207,0.89770355,NA,0.45289666,0.62904489,0.45289666,0.30754175,0.21294363,0.22390397,0.3250261,0.12774008,0.21294363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
848,0.50207039,NA,0.7060269,0.13217796,0.94787894,0.78078117,0.9180031,0.97866011,0.85307812,0.92240041,NA,0.37972064,0.69516296,0.37972064,0.29862907,0.14330057,0.14330057,0.28310916,0.06350233,0.14330057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
849,0.53224611,NA,0.56297851,0.23586071,0.98283527,0.8436651,0.76463324,0.9165226,0.42380835,0.92146209,NA,0.48085947,0.66609039,0.48085947,0.20548284,0.12892072,0.11755989,0.31020005,0.04840701,0.12892072,NA,NA,NA,NA,NA,NA,NA,NA,0.218217724018761,0.280177733892866,0.413231300913355,0.53961984695137
850,0.45584906,NA,0.88094041,0.32335932,0.95436258,0.8452351,0.89766155,0.91010812,0.33442293,0.76464672,NA,0.69298466,0.88697511,0.69298466,0.52363591,0.1048529,0.11541363,0.25106864,0.02904199,0.1048529,NA,NA,NA,NA,NA,NA,NA,NA,0.225936164865544,0.217391304347826,0.281729077657703,0.372958029655692
851,0.52170659,NA,0.79438903,0.23491272,0.92331671,0.90822943,0.92094763,0.7105985,0.43017456,0.77805486,NA,0.41546135,0.61246883,0.41546135,0.29426434,0.16421446,0.16421446,0.23179551,0.1201995,0.16421446,NA,NA,NA,NA,NA,NA,NA,NA,0.502741774675972,0.310319042871386,0.492771684945164,0.382602193419741
852,0.47039801,NA,0.73508205,0.19443063,0.79102437,0.8876181,0.93137742,0.37978618,0.0604177,0.40527101,NA,0.68697166,0.82123322,0.68697166,0.4801094,0.1322725,0.14271507,0.33354053,0.04015415,0.1322725,NA,NA,NA,NA,NA,NA,NA,NA,0.0484592445328032,0.166252485089463,0.234840954274354,0.497514910536779
853,0.55981099,NA,0.3446433,0.54685558,0.57183694,0.86887895,0.89162317,0.43810589,0.09793686,0.33258762,NA,0.48173005,0.66492667,0.48173005,0.25826498,0.17387522,0.18443947,0.28722347,0.11011683,0.17387522,NA,NA,NA,NA,NA,NA,NA,NA,0.23527950310559,0.267080745341615,0.190062111801242,0.39055900621118
854,0.46748723,NA,0.60967967,0.21355617,0.62453575,0.70253018,0.89345404,0.62383937,0.02530176,0.27367688,NA,0.81975395,0.87511606,0.81975395,0.76241876,0.25464253,0.25464253,0.42061281,0.14867688,0.25464253,NA,NA,NA,NA,NA,NA,NA,NA,0.0747099767981439,0.216241299303944,0.22877030162413,0.366125290023202
855,0.49208973,NA,0.49834789,0.03469436,0.66167099,0.79844229,0.87396743,0.77035638,0.02973802,0.31744159,NA,0.60974746,0.73200378,0.60974746,0.57080481,0.21536464,0.20533396,0.40677366,0.09381638,0.21536464,NA,NA,NA,NA,NA,NA,NA,NA,0.178343949044586,0.16277423920736,0.292521821184242,0.347723519698042
856,0.53344133,NA,0.43569281,0.26555633,0.67140874,0.92169789,0.85935693,0.53643303,0.01596114,0.27989822,NA,0.71813555,0.79354615,0.71813555,0.51191302,0.15128383,0.15128383,0.39821883,0.03608605,0.15128383,NA,NA,NA,NA,NA,NA,NA,NA,0.162774566473988,0.07121387283237,0.362774566473988,0.332485549132948
857,0.47277616,NA,0.5324748,0.11556551,0.43975364,0.82978723,0.72138858,0.62519597,0.02777156,0.14669653,NA,0.86382979,0.92396417,0.86382979,0.63762598,0.1712206,0.18073908,0.40134378,0.05677492,0.1712206,NA,NA,NA,NA,NA,NA,NA,NA,0.0958137452428923,0.066935303335572,0.319453772106559,0.355719722408775
858,0.58726257,NA,0.56231852,0.10721465,0.64138932,0.956109,0.76479786,0.5358499,0.08934554,0.35068126,NA,0.79059638,0.87469287,0.79059638,0.70359616,0.23911101,0.23911101,0.42673665,0.11268707,0.23911101,NA,NA,NA,NA,NA,NA,NA,NA,0.16700156284885,0.156954677383345,0.317035052467069,0.474212993971869
859,0.53555941,NA,0.48948851,0.09622887,0.69299957,0.92706979,0.87646294,0.86985262,0.17338535,0.47789337,NA,0.80353273,0.93833984,0.80353273,0.83029909,0.20166883,0.19159081,0.39336801,0.08745124,0.20166883,NA,NA,NA,NA,NA,NA,NA,NA,0.104202772963605,0.11026863084922,0.286611785095321,0.389081455805893
860,0.56252695,NA,0.43976293,0.06336207,0.77575431,0.95269397,0.82478448,0.84978448,0.24568966,0.5487069,NA,0.7205819,0.90032328,0.7205819,0.68081897,0.21519397,0.21519397,0.44644397,0.08189655,0.21519397,NA,NA,NA,NA,NA,NA,NA,NA,0.0706591986212839,0.0922016372253339,0.279405428694528,0.296854803963809
