"base_round","round_offset_from_base_round","roundwindow_size","train_start_round","train_end_round","oos_start_round","oos_end_round","raw_oos_round_count","n_models","validation_sample_size","mean_is_return","mean_forward_oos_return","is_maxdrawdown","forward_oos_maxdrawdown","status"
843,0,60,843,902,903,1197,295,6,285,0.0344,0.0179,0,0.14,"ok"
843,0,65,843,907,908,1197,290,7,279,0.0297,0.0217,0,0.1198,"ok"
843,0,70,843,912,913,1197,285,7,274,0.0295,0.0216,0,0.1198,"ok"
843,0,75,843,917,918,1197,280,7,269,0.0299,0.0214,0,0.1198,"ok"
843,0,80,843,922,923,1197,275,7,264,0.0298,0.0212,0,0.1198,"ok"
843,0,85,843,927,928,1197,270,9,259,0.0231,0.0167,0,0.2368,"ok"
843,0,90,843,932,933,1197,265,9,254,0.0231,0.0167,0,0.23,"ok"
843,0,95,843,937,938,1197,260,10,256,0.0251,0.0143,0,0.3006,"ok"
843,0,100,843,942,943,1197,255,8,251,0.0306,0.0175,0,0.168,"ok"
843,0,105,843,947,948,1197,250,8,246,0.0309,0.017,0,0.1689,"ok"
843,0,110,843,952,953,1197,245,8,241,0.0323,0.0166,0,0.1652,"ok"
843,0,115,843,957,958,1197,240,8,236,0.0324,0.0153,0,0.1832,"ok"
843,0,120,843,962,963,1197,235,8,231,0.0325,0.013,0,0.2013,"ok"
843,0,125,843,967,968,1197,230,8,226,0.0324,0.0127,0,0.2056,"ok"
843,0,130,843,972,973,1197,225,8,221,0.0319,0.0122,0,0.2057,"ok"
843,0,135,843,977,978,1197,220,8,216,0.0321,0.0126,0,0.1942,"ok"
843,0,140,843,982,983,1197,215,6,214,0.0326,0.0095,0,0.2082,"ok"
843,0,145,843,987,988,1197,210,6,209,0.0329,0.0085,0,0.2115,"ok"
843,0,150,843,992,993,1197,205,6,204,0.0329,0.008,0,0.2114,"ok"
843,0,155,843,997,998,1197,200,8,199,0.0318,0.0065,0,0.2538,"ok"
843,0,160,843,1002,1003,1197,195,9,194,0.0306,0.0086,0,0.2163,"ok"
843,0,165,843,1007,1008,1197,190,10,189,0.0306,0.0087,0,0.2134,"ok"
843,0,170,843,1012,1013,1197,185,9,184,0.0306,0.0094,0,0.1964,"ok"
843,0,175,843,1017,1018,1197,180,9,179,0.03,0.0085,0,0.2077,"ok"
843,0,180,843,1022,1023,1197,175,6,174,0.0311,0.0114,0,0.1319,"ok"
843,0,185,843,1027,1028,1197,170,5,169,0.0309,0.0111,0,0.1322,"ok"
843,0,190,843,1032,1033,1197,165,5,164,0.0309,0.0101,0,0.1366,"ok"
843,0,195,843,1037,1038,1197,160,5,159,0.0308,0.0101,0,0.1283,"ok"
843,0,200,843,1042,1043,1197,155,7,154,0.0306,0.0113,0,0.1157,"ok"
843,0,205,843,1047,1048,1197,150,7,149,0.0304,0.0108,0,0.1145,"ok"
843,0,210,843,1052,1053,1197,145,7,144,0.0306,0.0099,0,0.1144,"ok"
843,0,215,843,1057,1058,1197,140,7,139,0.0306,0.0092,0,0.1138,"ok"
843,0,220,843,1062,1063,1197,135,7,134,0.0305,0.0086,0,0.1138,"ok"
843,0,225,843,1067,1068,1197,130,7,129,0.0303,0.0081,0,0.1138,"ok"
843,0,230,843,1072,1073,1197,125,8,124,0.0292,0.008,0,0.1344,"ok"
843,0,235,843,1077,1078,1197,120,8,119,0.024,0.006,0.0011,0.2939,"ok"
843,0,240,843,1082,1083,1197,115,8,114,0.0231,0.006,0.012,0.3012,"ok"
843,0,245,843,1087,1088,1197,110,7,109,0.0256,0.0094,0.0313,0.2076,"ok"
843,0,250,843,1092,1093,1197,105,7,104,0.0255,0.0092,0.0316,0.2035,"ok"
843,0,255,843,1097,1098,1197,100,7,99,0.0253,0.0083,0.0313,0.2075,"ok"
843,0,260,843,1102,1103,1197,95,7,94,0.0255,0.0077,0.0323,0.2005,"ok"
843,0,265,843,1107,1108,1197,90,7,89,0.0252,0.0072,0.0323,0.2031,"ok"
843,0,270,843,1112,1113,1197,85,7,84,0.0242,0.0059,0.0286,0.2354,"ok"
843,0,275,843,1117,1118,1197,80,7,79,0.0241,0.0056,0.0289,0.2327,"ok"
843,0,280,843,1122,1123,1197,75,6,74,0.0264,0.008,0.0355,0.1409,"ok"
843,0,285,843,1127,1128,1197,70,6,69,0.0264,0.0075,0.0365,0.1364,"ok"
843,0,290,843,1132,1133,1197,65,6,64,0.0262,0.0068,0.0365,0.1364,"ok"
