"portfolio_type","model","weight","n_selected_cells","return_q90","maxdd_q10","n_oos_rounds","oos_return","oos_CVaR","oos_maxdd"
"return_p90","SHATTEREDX",0.191667711055169,116,0.0105,0.19161,101,0.00826937705565528,-0.021699835748836,0.171436401500754
"return_p90","EGG_001",0.17250960851313,NA,NA,NA,NA,NA,NA,NA
"return_p90","NB_TARGET_ENSEMBLE",0.13222006822522,NA,NA,NA,NA,NA,NA,NA
"return_p90","VIDEIGREN",0.0996729863467775,NA,NA,NA,NA,NA,NA,NA
"return_p90","JOS_STACK",0.0895145323838419,NA,NA,NA,NA,NA,NA,NA
"return_p90","NB_FEAT_NEUTRAL",0.0628718625329908,NA,NA,NA,NA,NA,NA,NA
"return_p90","FEARINDEX",0.0560299474755512,NA,NA,NA,NA,NA,NA,NA
"return_p90","V51_LGBM_TEAGER20",0.0553189792658762,NA,NA,NA,NA,NA,NA,NA
"return_p90","REPUTATION",0.0349408935766984,NA,NA,NA,NA,NA,NA,NA
"return_p90","WITCHYAI",0.0297449226198314,NA,NA,NA,NA,NA,NA,NA
"return_p90","V5_LGBM_TEAGER2B",0.0187429819124481,NA,NA,NA,NA,NA,NA,NA
"return_p90","SSH48",0.0151388743340361,NA,NA,NA,NA,NA,NA,NA
"return_p90","V51_LGBM_CYRUS60",0.0148694544698638,NA,NA,NA,NA,NA,NA,NA
"return_p90","V51_LGBM_TEAGER60",0.01176961824907,NA,NA,NA,NA,NA,NA,NA
"return_p90","MELONADA",0.00578394792455874,NA,NA,NA,NA,NA,NA,NA
"return_p90","NB_EXAMPLE_MODEL",0.00452886336506461,NA,NA,NA,NA,NA,NA,NA
"return_p90","V5_LGBM_CYRUSD",0.00441656319826253,NA,NA,NA,NA,NA,NA,NA
"return_p90","NB_HELLO_NUMERAI",0.000258184551609425,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","SHATTEREDX",0.246920027762831,113,0.0105,0.19161,60,0.00559126773425437,-0.0225335994152276,0.128243834409999
"maxdd_p10","EGG_001",0.183063266308848,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","FEARINDEX",0.150781810090355,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","NB_TARGET_ENSEMBLE",0.112101686083891,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","JOS_STACK",0.0658291988271189,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","NB_FEAT_NEUTRAL",0.0479013106318284,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","VIDEIGREN",0.039460762447191,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","REPUTATION",0.0332585124995938,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","V51_LGBM_TEAGER60",0.0277679094861368,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","V5_LGBM_TEAGER2B",0.0257742472432761,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","WITCHYAI",0.0167835874192883,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","V51_LGBM_TEAGER20",0.0151729587297842,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","SSH48",0.0142182134493159,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","NB_EXAMPLE_MODEL",0.00837897442778696,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","V5_LGBM_CYRUSD",0.00507049001195583,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","MELONADA",0.00271847110662915,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","V5_LGBM_CT_BLEND",0.00259883448710987,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","V51_LGBM_CYRUS60",0.00114451287496,NA,NA,NA,NA,NA,NA,NA
"maxdd_p10","V51_LGBM_CYRUS20",0.00105522611209952,NA,NA,NA,NA,NA,NA,NA
"overlap","SHATTEREDX",0.238182830848913,64,0.0105,0.19161,60,0.00691984385348107,-0.0226542486585495,0.128615370112598
"overlap","EGG_001",0.176040810732592,NA,NA,NA,NA,NA,NA,NA
"overlap","NB_TARGET_ENSEMBLE",0.110809582934181,NA,NA,NA,NA,NA,NA,NA
"overlap","JOS_STACK",0.105429276563049,NA,NA,NA,NA,NA,NA,NA
"overlap","FEARINDEX",0.0993509154727055,NA,NA,NA,NA,NA,NA,NA
"overlap","NB_FEAT_NEUTRAL",0.0650759664321687,NA,NA,NA,NA,NA,NA,NA
"overlap","REPUTATION",0.0575164134599695,NA,NA,NA,NA,NA,NA,NA
"overlap","VIDEIGREN",0.0564403914579203,NA,NA,NA,NA,NA,NA,NA
"overlap","V51_LGBM_TEAGER60",0.0212846367957176,NA,NA,NA,NA,NA,NA,NA
"overlap","V51_LGBM_TEAGER20",0.0195169983468804,NA,NA,NA,NA,NA,NA,NA
"overlap","V5_LGBM_TEAGER2B",0.0184173526845382,NA,NA,NA,NA,NA,NA,NA
"overlap","SSH48",0.0160944911827562,NA,NA,NA,NA,NA,NA,NA
"overlap","WITCHYAI",0.00772738390445619,NA,NA,NA,NA,NA,NA,NA
"overlap","NB_EXAMPLE_MODEL",0.00452500737656088,NA,NA,NA,NA,NA,NA,NA
"overlap","MELONADA",0.0035076232871121,NA,NA,NA,NA,NA,NA,NA
"overlap","V5_LGBM_CYRUSD",0.0000803185204804101,NA,NA,NA,NA,NA,NA,NA
