"model","n_rounds","n_participated_rounds","corr_return","return","CVaR","maxdd","pareto_3d_frontier"
"return_p90",233,233,0.0195037313333883,0.0196882889975202,-0.0159234035176815,0.171436401500754,0
"maxdd_p10",233,233,0.0200668819688237,0.0210533707880167,-0.013039628706687,0.128243834409999,0
"overlap",233,233,0.0200154140012097,0.0211780746825265,-0.0129319199332667,0.128615370112598,0
"NUMERAI_SWMM",355,355,0.0230741267719062,0.0173055950789297,-0.0190024121667606,0.232259183767293,0
"BGDA_60_AUTO",112,112,0.0114157592365693,0.0230651188721305,-0.0680797926199476,0.465089388392071,0
"FEARINDEX",355,355,0.0213920486790688,0.0277409778564949,-0.024486138742069,0.222757750156588,0
"REPUTATION",348,348,0.0211826954484973,0.0298009289325332,-0.0353237050955242,0.396744317554025,1
"VIDEIGREN",355,355,0.0228707537362508,0.0289067168752175,-0.0114260627006582,0.0835016953572824,1
"SHATTEREDX",355,355,0.0225811791853081,0.0274527564607093,-0.0129894345449764,0.0468944320555814,1
"JOS_STACK",352,352,0.021053020915653,0.0246603892016951,-0.0258608437275376,0.243785315227072,0
"EGG_001",354,354,0.0225820120781511,0.0269363277217843,-0.0386234586075385,0.582153911357441,0
"SSH48",355,355,0.0155132731097455,0.0152293189108692,-0.0421637820439618,0.503208601260036,0
"WITCHYAI",355,355,0.0205431933349103,0.0238922971740975,-0.0213268558135685,0.215816288915561,0
"MELONADA",241,241,0.0227131519023884,0.0262700170952651,-0.0195742549257055,0.0994164563641222,0
"NB_EXAMPLE_MODEL",355,355,0.010741892209578,0.0040111139376344,-0.082427002628648,0.949116232620542,0
"NB_FEAT_NEUTRAL",355,355,0.010069901626866,0.000753202670073694,-0.0801939100108655,0.981795906949355,0
"NB_HELLO_NUMERAI",355,355,0.0107282293500465,0.00396756510581744,-0.082427002628648,0.949913827295844,0
"NB_TARGET_ENSEMBLE",355,355,0.0101639611629166,0.00379390458957882,-0.0773414226154183,0.943422238052835,0
"V5_EXAMPLE_PREDS",355,355,0.0155582940691937,0.00228380173278206,-0.063540247982994,0.812715439553085,0
"V5_LGBM_CT_BLEND",355,355,0.0155580746699045,0.0022836971389094,-0.0635433697130238,0.812675582557931,0
"V5_LGBM_CYRUSD",355,355,0.0154501830753375,0.000432906192066134,-0.0687127703956983,0.866056128319267,0
"V5_LGBM_TEAGER2B",355,355,0.0143541850406393,0.00402517463273781,-0.0543486058713217,0.727338951549269,0
"INTEGRATION_TEST",354,354,0.0149010896143404,0.000350082543665616,-0.0557572979459445,0.839783044301222,0
"V52_LGBM_TEAGER2B60",64,64,0.00168128646903383,-0.00930921388063152,-0.0625103227851975,0.727597066416159,0
"V52_LGBM_TEAGER2B20",64,64,0.00458468693315922,-0.0030941537135804,-0.0624916346557417,0.710201817182096,0
"V52_LGBM_JASPER60",64,64,0.00144481033084136,-0.0117587835593406,-0.0709003576532004,0.662854354775377,0
"V52_LGBM_JASPER20",64,64,-0.000449206134291731,-0.0183607137989665,-0.0841004756839189,0.807710683816149,0
"V52_LGBM_ENDER60",64,64,0.00232902703825135,-0.0105438057737282,-0.0603263083376072,0.681337972595197,0
"V52_LGBM_ENDER20",64,64,0.000501779207852169,-0.0162190446599293,-0.0664121736724888,0.768989077638305,0
"V52_LGBM_CYRUSD60",64,64,-0.000999134702341146,-0.0233009911769662,-0.0654530739215737,0.788715963308553,0
"V52_LGBM_CYRUSD20",64,64,-0.00167326634414465,-0.0250406321687464,-0.0957945866038724,0.864959150748783,0
"V51_LGBM_TEAGER60",349,349,0.0157694888992518,0.0124028035308058,-0.0530446813299855,0.731783550902472,0
"V51_LGBM_TEAGER20",349,349,0.0152414345632308,0.00817352539533766,-0.0483824018637676,0.695700663506474,0
"V51_LGBM_CYRUS60",349,349,0.0175501945206069,0.0105237958861683,-0.0509320714588974,0.786838800786928,0
"V51_LGBM_CYRUS20",349,349,0.0147957789800331,0.00166641473900804,-0.0554051981450681,0.845041375259429,0
